x_acceleration,y_acceleration,z_acceleration
-0.9768066,-0.007324219,0.3474121
-1.008057,0.03076172,0.3422852
-1.015869,0.0144043,0.3178711
-1.01001,0.003173828,0.3334961
-0.9980469,0.007080078,0.3237305
-0.9746094,-0.006103516,0.3007813
-0.9594727,-0.006591797,0.3100586
-0.9580078,-0.003173828,0.3510742
-0.9389648,0.01000977,0.3417969
-0.9204102,-0.03662109,0.3491211
-0.8935547,-0.02880859,0.3527832
-0.8894043,-0.04541016,0.3635254
-0.8835449,-0.04882813,0.3825684
-0.8728027,-0.07226563,0.4064941
-0.8544922,-0.1057129,0.4785156
-0.8654785,-0.248291,0.6523438
-0.9597168,-0.4406738,0.7419434
-1.10791,-0.5527344,0.8239746
-1.175781,-0.8222656,0.9470215
-1.12915,-0.8754883,1.037354
-1.021973,-0.7678223,1.05127
-0.8806152,-0.6479492,1.009277
-0.7341309,-0.6411133,0.824707
-0.5917969,-0.503418,0.3122559
-0.4667969,-0.1955566,0.07568359
-0.4953613,0.1904297,0.1027832
-0.6010742,0.5668945,0.04541016
-0.6948242,0.5615234,-0.3891602
-0.9460449,0.4987793,-0.701416
-1.145264,0.8347168,-0.9077148
-1.35791,1.256592,-0.4702148
-1.564453,1.212158,-0.0002441406
-1.609619,0.9863281,-0.3134766
-1.446533,0.644043,-0.5471191
-1.19165,0.6589355,-0.3684082
-0.987793,0.7636719,-0.1533203
-0.9487305,0.7158203,-0.08666992
-0.916748,0.5869141,-0.2368164
-0.8425293,0.3525391,-0.2556152
-0.8146973,0.3896484,-0.1938477
-0.8493652,0.3444824,-0.04614258
-0.8208008,0.2687988,0.03808594
-0.791748,-0.008789063,0.06884766
-0.7832031,-0.01953125,0.1831055
-0.7631836,-0.02368164,0.2958984
-0.6962891,-0.1262207,0.4819336
-0.7116699,-0.267334,0.588623
-0.7910156,-0.4726563,0.6486816
-0.9064941,-0.6303711,0.7590332
-0.9892578,-0.505127,0.7741699
-1.079102,-0.4580078,0.8137207
-1.078125,-0.4379883,0.7194824
-1.106934,-0.3796387,0.6660156
-1.074219,-0.232666,0.6921387
-1.030762,-0.1315918,0.6352539
-0.987793,-0.1416016,0.5439453
-0.9729004,-0.1318359,0.5200195
-0.9599609,0.006591797,0.4304199
-0.921875,0.02148438,0.3413086
-0.9169922,0.003173828,0.3056641
-0.9331055,0.02270508,0.3623047
-0.9301758,0.06347656,0.2895508
-0.9182129,0.08740234,0.2602539
-0.9226074,0.06030273,0.2148438
